tid,views,replies
204322,210,13
204325,1901,13
204328,105,7
204330,117,8
204331,202,3
204334,123,3
204342,107,2
204346,140,3
204347,180,2
204348,101,3
204349,458,39
204350,5426,36
204351,304,5
204359,203,6
204316,1416,9
204369,219,8
204375,552,3
204376,119,6
204378,898,1
204383,367,6
204385,524,5
204389,391,7
204394,241,1
204397,210,1
204401,350,10
204404,274,13
204405,589,2
204408,456,3
204410,770,9
204411,370,1
204412,304,1
204413,156,1
204414,194,1
204429,1153,19
204430,973,4
204431,327,1
204432,652,20
204436,103,6
204438,704,2
204446,1384,25
204448,428,5
204452,197,2
204454,417,2
204455,410,2
204456,484,1
204447,5644,46
204458,730,2
204460,557,4
204461,166,1
204462,193,3
204463,229,2
204464,440,14
204465,162,1
204467,3770,21
204468,931,55
204469,274,3
204478,101,2
204481,170,8
204489,606,3
204493,119,2
204484,4038,13
204498,568,10
204499,164,4
204500,272,4
204501,292,7
204502,282,4
204503,542,5
204504,949,5
204505,339,12
204508,280,2
204509,2849,33
204510,415,12
204512,175,3
204514,279,6
204516,741,3
204517,300,1
204518,487,1
204520,283,5
204521,263,1
204522,258,3
204524,756,1
204525,1843,2
204526,345,2
204529,150,5
205205,200,2
204531,294,1
204533,170,5
204536,312,2
204537,711,28
204538,182,6
204539,285,13
204540,410,11
204541,131,2
204544,282,2
204546,199,1
204548,243,1
204549,399,2
204550,212,1
204551,328,3
204555,316,4
204562,178,1
204565,147,1
204566,120,4
204567,2144,4
204570,465,11
204572,859,8
204585,302,1
204595,399,1
204596,285,3
204597,488,1
204600,152,4
204601,119,5
204602,2161,4
204603,130,2
204606,14436,161
204613,105,16
204614,185,1
204615,152,3
204616,1037,4
204617,3742,5
204618,622,1
204622,287,23
282172,637,3
282173,957,7
204630,186,3
204634,353,10
204635,368,12
282174,932,1
204640,392,11
204647,107,1
204658,588,26
204665,471,33
204666,375,1
204667,3453,4
204664,1540,61
204670,221,4
204641,1506,1
204698,257,6
204700,438,21
204703,1002,3
204705,210,1
204711,253,1
204715,140,2
204717,393,3
204721,105,12
204726,163,1
204727,312,6
204728,268,1
204731,187,1
204737,331,3
204739,686,22
204742,248,1
204745,124,3
204749,326,7
204750,307,1
204754,311,3
204757,875,5
204759,386,5
204760,269,1
204761,268,3
204762,382,4
204763,142,14
204764,497,22
204765,1723,126
204766,394,2
204767,185,1
204768,140,24
204769,162,23
204772,327,5
204780,232,1
204782,658,30
204783,178,4
204784,296,2
204790,240,1
204791,324,1
204792,151,6
204795,257,4
204801,342,1
204804,280,2
204806,657,11
204808,396,12
204809,170,9
204811,708,13
204812,429,11
204814,158,3
204818,1404,4
204823,354,12
204828,495,13
204830,5328,26
204832,268,1
204836,161,3
204840,145,2
204843,133,4
204846,105,2
204847,158,9
204848,417,2
204849,240,1
204850,754,2
204851,451,2
204852,4051,6
204853,178,1
204854,154,1
204855,776,5
204856,255,14
204857,3934,22
204858,745,41
204860,247,2
204862,252,33
204864,349,7
204875,426,48
204876,292,11
204879,549,8
204880,137,4
204881,262,2
204882,382,6
204884,643,11
204886,148,2
204890,527,12
204893,567,2
204908,2558,52
204915,104,2
204917,34248,281
204923,238,3
204927,171,4
204929,2539,5
204940,110,2
204943,104,3
204944,268,17
204946,149,2
204948,113,2
204951,1306,10
204962,190,2
204967,115,7
204965,1220,2
204975,179,1
204976,1245,16
204978,501,5
204979,182,1
204980,345,2
204981,421,2
204982,245,2
204985,255,5
204986,621,3
204987,604,2
204988,501,2
204990,361,4
204992,417,4
204993,136,5
205000,178,4
205005,420,2
205012,342,9
205014,324,7
205029,334,2
205036,283,1
205037,226,1
205038,110,8
205040,364,1
205043,332,1
205051,457,14
205052,171,12
205053,182,14
205044,121,1
205048,172,2
205050,208,3
205055,443,24
205003,9624,37
205056,319,3
205058,743,21
205059,541,12
205060,1813,25
205061,222,1
205063,157,2
205064,152,1
205065,312,2
205066,183,2
205070,1453,119
205071,811,21
205073,182,3
205085,338,23
205087,219,11
205088,1694,10
282175,1063,2
205090,143,6
205091,1053,15
205099,352,16
205102,279,1
205106,276,3
205107,1497,13
205127,421,1
205129,503,1
205137,101,8
205140,1991,28
205141,794,22
205143,123,3
205147,816,3
205148,175,1
205151,236,12
205152,623,4
205154,187,1
205159,984,79
205161,517,4
205162,407,10
205166,236,3
205167,189,1
205168,212,2
205169,105,2
205172,212,1
205188,124,5
205149,261,8
205190,478,15
205197,457,2
205198,1383,14
205200,475,12
205206,103,5
205207,229,5
205209,573,19
205215,9232,149
205217,715,2
205219,1214,10
205227,131,13
205210,44889,33
205228,1251,33
