tid,views,replies
254357,1191,59
250833,5855,59
232973,10387,58
254714,7116,58
208374,1104,58
294781,1437,58
268299,1013,58
218641,2238,58
222698,1851,58
253242,2068,58
224513,3156,58
302528,4646,58
229818,1183,58
244588,7726,57
236984,1853,57
256960,1602,57
254800,2978,57
256551,2068,57
217151,2135,57
269893,1202,57
223702,1267,57
225428,6807,57
291178,2037,57
286473,2008,56
298583,1510,56
243844,1679,56
250084,1077,56
240387,1855,56
297226,1256,56
263145,1822,56
213853,3418,56
304735,1141,56
220239,3692,56
220866,1030,56
222077,1001,56
257690,1764,56
235562,1674,56
300750,2227,55
207752,2040,55
247149,1272,55
224108,1227,55
254696,1692,54
285559,26796,54
237069,4153,54
232416,1432,54
214049,2082,54
288750,1601,54
215039,1103,54
251204,1433,54
217015,1496,54
257200,2431,54
221444,18755,54
269103,1465,54
226454,4581,54
299945,1297,53
227214,16550,53
210258,9551,53
212520,1002,53
213351,1664,53
217867,2634,53
301039,1190,53
299060,1206,53
273320,1430,53
253705,22498,53
256547,1919,53
267132,2534,53
223516,1088,53
242295,1398,52
204908,2557,52
299242,6307,52
233351,1169,52
284253,1445,52
248456,1223,52
285816,3195,52
249226,5004,52
216151,3338,52
254624,2257,52
239404,1446,52
218204,1437,52
218216,1563,52
251473,1588,52
299943,1306,52
299728,11807,52
265154,1997,51
211062,6392,51
211594,1342,51
271405,1552,51
213676,1217,51
265104,2632,51
298231,1391,51
289091,5276,51
303268,1871,51
216738,7528,51
285169,4031,51
221042,1039,51
260173,1800,51
224378,1298,51
303733,1150,50
203755,7478,50
296923,2675,50
276277,2128,50
234320,1029,50
206683,22583,50
252083,1255,50
235765,3647,50
235318,1114,50
282477,66467,50
257806,2401,50
214056,2057,50
260858,1326,50
216469,5004,50
216922,3493,50
255275,1652,50
232302,1016,50
301121,1146,50
221373,1215,50
228785,1967,50
252950,1218,50
253396,11832,50
298269,1461,49
227913,1684,49
252903,2203,49
208441,1707,49
208765,4106,49
209760,6213,49
279079,2505,49
242070,1398,49
302668,33899,49
215688,1267,49
271340,2121,49
256542,1703,49
251845,6292,49
256556,2088,49
299733,1019,49
258612,4534,48
262378,1704,48
278948,1777,48
278595,5139,48
257728,1536,48
249295,1224,48
288691,1475,48
217141,10282,48
232082,1261,48
219623,24030,48
284718,4147,48
248843,1179,48
225841,2626,48
256495,1488,47
266920,1217,47
296972,2173,47
273493,6242,47
271063,3776,47
266250,1181,47
290717,22029,47
252504,1780,47
286400,33345,47
212979,21926,47
254221,1897,47
295259,2272,47
257970,1137,47
215085,1935,47
242364,3382,47
276986,2065,47
217087,16841,47
274003,1019,47
219758,2178,47
221577,1001,47
251848,1352,47
224646,47684,47
225215,1139,47
262205,1607,46
204447,5644,46
227192,1086,46
260490,2603,46
274829,2286,46
249128,1618,46
251139,2876,46
241932,1096,46
213384,2280,46
256549,1827,46
258217,1183,46
251203,3993,46
